Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,MntTotal,TotalCampAccepted,Customer_years
Graduation,Single,58138.0,0,0,58,3,8,10,4,7,64,1617,1,9
Graduation,Single,46344.0,1,1,38,2,1,1,2,5,67,27,0,7
Graduation,Together,71613.0,0,0,26,1,8,2,10,4,56,776,0,8
Graduation,Together,26646.0,1,0,26,2,2,0,4,6,37,53,0,7
PhD,Married,58293.0,1,0,94,5,5,3,6,5,40,422,0,7
Master,Together,62513.0,0,1,16,2,6,4,10,6,54,716,0,8
Graduation,Divorced,55635.0,0,1,34,4,7,3,7,6,50,590,0,9
PhD,Married,33454.0,1,0,32,2,4,0,4,8,36,169,0,8
PhD,Together,30351.0,1,0,19,1,3,0,2,9,47,46,1,8
PhD,Together,5648.0,1,1,68,1,1,0,0,20,71,49,1,7
Graduation,Married,52247.25135379061,1,0,11,1,1,0,2,7,38,19,0,8
Basic,Married,7500.0,0,0,59,1,2,0,3,8,45,61,0,9
Graduation,Divorced,63033.0,0,0,82,1,3,4,8,2,62,1102,0,8
Master,Divorced,59354.0,1,1,53,3,6,1,5,6,69,310,0,8
Graduation,Married,17323.0,0,0,38,1,1,0,3,8,34,46,0,9
PhD,Single,82800.0,0,0,23,1,7,6,12,3,75,1315,3,9
Graduation,Married,41850.0,1,1,51,3,3,0,3,8,41,96,0,9
Graduation,Together,37760.0,0,0,20,2,4,1,6,7,75,317,0,9
Master,Married,76995.0,0,1,91,2,11,4,9,5,72,1782,1,8
2n Cycle,Single,33812.0,1,0,86,2,2,1,3,6,36,133,0,9
Graduation,Married,37040.0,0,0,41,1,4,2,5,8,39,316,0,9
Graduation,Married,2447.0,1,0,42,15,0,28,0,1,42,1730,0,8
PhD,Married,58607.0,0,1,63,3,2,3,9,8,72,972,1,9
PhD,Married,65324.0,0,1,0,3,6,2,9,4,67,544,0,7
Graduation,Together,40689.0,0,1,69,7,7,1,5,8,70,444,0,8
Graduation,Single,18589.0,0,0,89,2,2,1,3,7,52,75,0,8
Graduation,Married,53359.0,1,1,4,4,5,1,4,7,45,257,0,8
Graduation,Single,52247.25135379061,1,0,19,0,27,0,0,1,35,637,0,8
Graduation,Married,38360.0,1,0,26,2,2,1,4,3,32,131,0,8
PhD,Married,84618.0,0,0,96,1,6,9,10,2,56,1672,1,8
Master,Divorced,10979.0,0,0,34,2,3,0,3,5,32,30,0,7
Master,Together,38620.0,0,0,56,1,2,5,3,3,58,318,0,8
Graduation,Together,40548.0,0,1,31,2,2,1,4,5,51,120,1,9
PhD,Divorced,46610.0,0,2,8,6,4,1,6,6,69,302,1,9
Master,Married,68657.0,0,0,4,1,3,5,9,7,75,1196,0,8
Master,Single,49389.0,1,1,55,1,2,0,3,7,70,65,0,8
PhD,Married,67353.0,0,1,37,5,5,6,12,2,51,913,0,8
2n Cycle,Married,23718.0,1,0,76,3,3,1,2,7,45,81,0,8
Graduation,Widow,42429.0,0,1,99,2,1,1,3,5,48,67,0,7
PhD,Divorced,48948.0,0,0,53,2,7,10,5,6,78,902,2,8
Graduation,Married,80011.0,0,1,3,2,8,6,5,4,41,1395,0,8
Master,Married,20559.0,1,0,88,2,2,0,3,8,36,53,0,8
Graduation,Together,21994.0,0,1,4,1,0,0,3,5,64,22,0,9
PhD,Single,52247.25135379061,0,0,80,1,1,3,4,2,62,186,0,8
Master,Married,7500.0,1,0,19,3,2,0,3,5,46,31,0,8
Graduation,Single,79941.0,0,0,72,1,2,4,9,1,45,984,0,7
2n Cycle,Married,7500.0,0,0,24,3,3,1,3,9,25,122,1,9
Graduation,Together,41728.0,1,0,92,1,2,0,2,10,53,55,0,8
Graduation,Single,52247.25135379061,2,1,96,3,2,1,4,6,70,124,0,7
PhD,Married,72550.0,1,1,39,9,5,2,12,8,67,1319,0,9
Graduation,Widow,65486.0,0,1,29,1,4,2,10,2,64,507,0,7
Master,Married,79143.0,0,0,2,1,6,9,13,3,57,1693,0,9
Graduation,Single,35790.0,1,0,54,2,2,0,3,7,44,72,0,8
Graduation,Divorced,82582.0,0,0,54,1,4,9,7,1,44,1617,3,7
Graduation,Married,66373.0,1,1,57,7,4,2,10,3,43,606,0,8
Master,Together,82384.0,0,0,55,1,3,10,13,1,66,1957,2,9
Graduation,Divorced,70287.0,0,0,30,1,5,5,10,3,55,1093,1,8
Graduation,Single,27938.0,1,0,31,1,1,0,4,3,33,29,0,7
Graduation,Single,52247.25135379061,1,0,57,2,2,0,3,6,39,46,0,8
PhD,Married,55954.0,0,1,63,3,8,2,6,7,53,518,0,7
Master,Single,75777.0,0,0,12,1,3,6,11,1,39,1438,3,8
Graduation,Together,66653.0,1,1,18,4,4,2,12,3,46,612,0,9
Graduation,Single,61823.0,0,1,26,4,8,2,10,7,69,884,0,8
PhD,Widow,67680.0,0,1,8,1,7,3,8,5,70,606,0,8
Graduation,Together,70666.0,0,0,29,1,7,4,4,4,73,1076,0,8
Graduation,Married,25721.0,1,0,75,1,1,1,2,7,50,34,1,8
Graduation,Together,32474.0,1,1,0,1,1,0,2,7,54,11,0,7
2n Cycle,Single,88194.0,0,1,19,1,11,10,10,5,42,1274,3,7
Graduation,Together,69096.0,0,1,4,1,5,2,10,4,63,653,0,8
Graduation,Together,74854.0,1,2,90,7,2,5,5,5,51,1562,0,8
Master,Married,66991.0,0,0,1,3,4,8,6,3,67,1253,0,9
2n Cycle,Married,52247.25135379061,1,0,25,3,3,0,3,8,48,109,0,9
Graduation,Married,65031.0,0,1,29,4,10,3,13,7,62,863,0,8
PhD,Married,60631.0,1,1,88,5,9,2,8,7,46,661,1,8
Graduation,Married,28332.0,0,0,58,1,2,1,4,2,69,65,0,7
Graduation,Divorced,40246.0,1,0,68,1,1,0,2,6,44,13,0,9
Master,Married,75251.0,0,0,34,1,7,6,5,5,49,1890,1,9
Graduation,Single,75825.0,0,0,40,0,5,8,9,4,45,2209,2,9
2n Cycle,Together,26326.0,0,0,12,1,0,0,3,3,45,18,0,8
Graduation,Together,56046.0,0,0,9,2,10,1,8,8,56,692,2,8
Graduation,Single,29760.0,1,0,87,4,3,1,4,8,36,165,0,9
Graduation,Married,26304.0,1,0,5,1,1,0,2,7,52,16,0,8
2n Cycle,Married,23559.0,1,0,87,3,3,0,3,7,48,79,0,8
Master,Together,38620.0,0,0,56,1,2,5,3,3,58,318,0,8
Graduation,Divorced,81361.0,0,0,18,1,3,10,13,1,34,778,0,7
Graduation,Married,29440.0,1,1,95,2,1,0,4,7,61,56,0,8
Master,Married,36138.0,1,1,48,5,3,1,4,7,51,151,1,8
Graduation,Single,50388.0,0,1,3,4,6,1,6,7,64,372,3,7
Graduation,Married,79593.0,0,0,70,1,5,6,7,2,48,1366,1,7
Graduation,Together,54178.0,0,1,79,1,2,2,5,2,54,194,0,7
PhD,Married,52247.25135379061,2,1,4,12,7,2,8,9,64,603,0,9
Graduation,Single,52247.25135379061,1,1,45,1,1,0,2,7,64,18,0,7
Master,Together,52247.25135379061,0,0,87,1,2,4,8,1,48,985,0,8
Master,Single,42394.0,1,0,69,1,1,0,3,7,49,32,0,7
PhD,Married,23626.0,1,0,84,3,3,1,3,5,51,43,0,7
Graduation,Married,30096.0,1,0,30,1,2,0,3,6,38,45,0,7
Graduation,Widow,47916.0,0,1,72,5,7,4,6,6,61,606,1,9
Graduation,Divorced,51813.0,1,1,37,2,2,0,3,7,49,63,0,8
2n Cycle,Married,78497.0,0,0,44,1,5,7,12,2,70,978,1,8
PhD,Married,50150.0,0,0,32,2,5,2,7,5,38,410,0,8
2n Cycle,Single,47823.0,0,1,0,2,2,0,3,8,61,72,0,8
PhD,Single,34554.0,0,1,43,2,2,0,3,6,62,55,0,7
Graduation,Together,85693.0,0,1,59,2,9,5,11,5,42,1169,0,8
PhD,Married,65846.0,0,0,68,1,6,3,6,4,76,1120,0,8
Graduation,Married,87195.0,0,0,35,1,3,11,5,1,62,1097,1,7
Basic,Together,24594.0,1,0,94,1,1,0,3,5,42,29,0,8
Graduation,Married,49096.0,1,1,15,4,4,1,4,7,57,187,0,8
Graduation,Married,52413.0,0,2,56,4,6,4,12,6,52,910,0,8
Graduation,Single,38557.0,1,0,17,2,3,1,3,7,43,145,0,9
Master,Married,89058.0,0,0,18,1,5,4,4,2,61,850,0,9
Graduation,Together,77298.0,0,1,46,1,6,6,11,3,42,969,0,8
PhD,Single,68126.0,0,0,40,1,7,4,5,9,30,1820,2,9
Master,Together,57288.0,0,1,27,3,8,1,8,6,58,608,1,7
Graduation,Single,86037.0,0,0,95,1,6,7,11,3,30,730,3,8
PhD,Married,43974.0,1,0,19,5,6,4,6,7,41,551,0,9
Graduation,Single,50785.0,1,1,27,2,2,1,3,6,59,114,0,8
Graduation,Married,90765.0,0,0,25,0,4,6,5,1,51,1724,2,7
2n Cycle,Married,36550.0,1,0,74,5,9,1,5,9,43,577,0,8
2n Cycle,Together,30753.0,1,1,85,2,1,1,3,5,54,81,0,8
Graduation,Together,21918.0,1,0,37,2,2,0,3,6,52,33,0,8
Master,Together,56129.0,0,1,65,4,6,2,10,4,68,660,0,8
Master,Single,32557.0,1,0,13,3,2,1,3,5,54,80,1,7
Master,Married,19510.0,2,0,63,2,1,0,3,7,36,30,0,8
